1.8664790068,1.9187925109,1.7967481410,1.7128753057,0.7095600490,1.0000000000,0.0000000000,0.7629608605,0.6954722304,0.8296699799,1.0000000000,0.0072889505,0.0050238885,0.0120237546,0.0169013964,0.0080504922,0.0318251074,0.1709737561,0.1123447950,0.1956216848,0.5443083597,0.4197899772
2.0534751221,2.0921159125,1.9688288582,1.8781310877,0.7153598794,1.0000000000,0.0000000000,0.6937440488,0.6376549337,0.7649659270,0.7942717101,0.0091744209,0.0060464339,0.0146977803,0.0203136076,0.0100049301,0.0389752920,0.1383786889,0.0931425323,0.1586199838,0.4386561099,0.3566188119
2.0357231072,2.0896002862,1.9597021795,1.8670018383,0.7064630119,1.0000000000,0.0198947885,0.7190460659,0.6174857950,0.7036696493,0.6768965267,0.0116391743,0.0077731651,0.0186419985,0.0261283366,0.0125174649,0.0501863410,0.1118989549,0.0753391781,0.1263439025,0.3868236088,0.3448653165
2.1145650857,2.1658810147,2.0321625934,1.9356787996,0.7119636323,1.0000000000,0.0000000000,0.6865066029,0.5969439977,0.7523367217,1.0000000000,0.0068614689,0.0046713023,0.0110270422,0.0156965739,0.0075260280,0.0294505203,0.1879708708,0.1183181146,0.2156562749,0.6220581085,0.4240638396
1.8735980953,1.9169434694,1.8006867940,1.7159500137,0.7048345524,1.0000000000,0.0260232470,0.7832079778,0.6694912417,0.8213359775,0.8666757864,0.0097718102,0.0064822568,0.0155991353,0.0217381739,0.0106903691,0.0414705344,0.1363964269,0.0840082161,0.1565286695,0.4570244941,0.3592848859
2.2257193308,2.3007228911,2.1494793180,2.0446427074,0.6915523298,1.0000000000,0.0000000000,0.6717133810,0.5346598995,0.6720234343,0.7708380744,0.0095466604,0.0065428177,0.0153047011,0.0220374449,0.0103522853,0.0408346401,0.1434350310,0.0825762865,0.1618776818,0.5254576284,0.3766817329
2.0120514528,2.0683263729,1.9361536788,1.8454744613,0.7076178667,1.0000000000,0.0000000000,0.7218165919,0.6260482491,0.7856634865,1.0000000000,0.0068955339,0.0045073735,0.0108460056,0.0153001784,0.0072721937,0.0284818494,0.1939821482,0.1218248064,0.2210724742,0.6404547229,0.4559198099
2.1075270480,2.1715262723,2.0315969261,1.9363053608,0.7007944614,1.0000000000,0.0000000000,0.7030042577,0.5734732936,0.7640456919,0.9305200878,0.0080936293,0.0054203473,0.0127945300,0.0184455306,0.0087219903,0.0347484227,0.1669294953,0.0982656558,0.1928235880,0.5831687306,0.3822468847
2.0023245089,2.0481346702,1.9220240885,1.8319780043,0.7219539732,1.0000000000,0.0000000000,0.7136151097,0.6456982987,0.8045707712,1.0000000000,0.0073453037,0.0048809553,0.0115879204,0.0165293888,0.0079498854,0.0306490918,0.1761284012,0.1154443928,0.2009652323,0.5596277058,0.3955584829
1.8616781490,1.8965297267,1.7851335914,1.7032509260,0.7120928616,1.0000000000,0.0000000000,0.7759173659,0.6890364999,0.8456773807,1.0000000000,0.0076363552,0.0051445953,0.0125411311,0.0173868910,0.0084964888,0.0333194681,0.1656734049,0.1074881994,0.1895074170,0.5407347496,0.4041676813
